Competency Code,Domain #,Domain Name,Skill Area Code,Skill Area Name,Competency Title,Proficiency Level,Knowledge,Application,Indicator 1,Indicator 2,Indicator 3,Indicator 4,Indicator 5,Indicator 6
1.1.4,1,Ecological & Scientific Knowledge,1.1,ECOSYSTEM SCIENCE,Disturbance ecology,INTERMEDIATE,Applies disturbance ecology theory; understands disturbance regimes,Assesses disturbance impacts and predicts recovery,Reconstructs historical disturbance regimes,Assesses severity and extent of disturbances,Predicts recovery trajectories based on disturbance characteristics,Evaluates how disturbance regimes have been altered by management,Identifies species and ecosystems dependent on disturbance,Uses disturbance ecology in habitat management planning
1.1.4,1,Ecological & Scientific Knowledge,1.1,ECOSYSTEM SCIENCE,Disturbance ecology,ADVANCED,Expert in disturbance ecology; understands multiple interacting disturbances,Designs management incorporating or mimicking disturbance regimes,Analyzes compound disturbances and interactions,Models disturbance regimes and their effects on landscapes,Designs management that restores natural disturbance regimes,Predicts ecosystem responses to altered disturbance regimes under climate change,Identifies resilience and transformation thresholds,Publishes disturbance ecology research
1.1.4,1,Ecological & Scientific Knowledge,1.1,ECOSYSTEM SCIENCE,Disturbance ecology,EXPERT,Shapes understanding of disturbance ecology and application,Leads transformative research or management of disturbance-dependent systems,Advances disturbance ecology theory,Influences policy on managing disturbance regimes,Leads landscape-scale disturbance management programs,Publishes influential research on disturbance ecology,,
1.1.5,1,Ecological & Scientific Knowledge,1.1,ECOSYSTEM SCIENCE,Habitat requirements analysis,FOUNDATIONAL,"Understands basic habitat concepts (cover, forage, water, space)",Describes habitat for common species,Lists habitat components for focal species,Uses habitat assessment protocols in the field,Identifies obvious habitat limitations,"Measures basic habitat variables (vegetation structure, water availability)",Understands concept of habitat quality,
1.1.5,1,Ecological & Scientific Knowledge,1.1,ECOSYSTEM SCIENCE,Habitat requirements analysis,INTERMEDIATE,Applies habitat ecology theory; understands limiting factors,Conducts habitat assessments and suitability analyses,Conducts comprehensive habitat assessments,Identifies limiting habitat factors for species,Uses GIS to map and analyze habitat,Develops habitat suitability models,Evaluates effects of land use on habitat quality and connectivity,Makes habitat management recommendations
1.1.5,1,Ecological & Scientific Knowledge,1.1,ECOSYSTEM SCIENCE,Habitat requirements analysis,ADVANCED,Expert in habitat ecology; understands scale-dependent habitat selection,Designs habitat management strategies across landscapes,Models habitat suitability at multiple spatial scales,Designs habitat connectivity analyses,Predicts habitat shifts under climate change,Develops landscape-scale habitat conservation strategies,Evaluates effectiveness of habitat management interventions,Publishes habitat ecology research
1.1.5,1,Ecological & Scientific Knowledge,1.1,ECOSYSTEM SCIENCE,Habitat requirements analysis,EXPERT,Shapes habitat science and conservation practice,Leads transformative habitat conservation initiatives,Develops innovative habitat modeling approaches,Influences habitat conservation policy,Leads major habitat conservation programs,Publishes influential habitat ecology research,,
1.2.1,1,Ecological & Scientific Knowledge,1.2,SOIL & WATER SCIENCE,Soil classification and mapping,FOUNDATIONAL,Understands soil formation factors and basic taxonomy,Describes soil profiles using standard terminology,Identifies soil horizons in profile pits,Describes soil texture by feel method,Records soil observations using standard forms,Uses USDA soil taxonomy at order/suborder level,"Understands how parent material, climate, and topography affect soils",
1.2.1,1,Ecological & Scientific Knowledge,1.2,SOIL & WATER SCIENCE,Soil classification and mapping,INTERMEDIATE,Applies soil taxonomy to great group/subgroup; understands soil-landscape relationships,Conducts soil surveys and creates soil maps,Classifies soils to subgroup level using Soil Taxonomy,Conducts transect surveys identifying soil series,Creates digital soil maps using GIS and field observations,Interprets aerial photos and LiDAR for soil mapping,Uses soil survey data for planning and management,Understands soil-vegetation relationships
1.2.1,1,Ecological & Scientific Knowledge,1.2,SOIL & WATER SCIENCE,Soil classification and mapping,ADVANCED,Expert in soil classification and geomorphology,Leads complex soil survey projects,Leads soil survey projects for diverse landscapes,Develops soil map unit descriptions and interpretations,Correlates soils across geographic areas,Updates official soil surveys and contributes to NRCS databases,Trains junior soil scientists in classification and mapping,Integrates soil data with ecological and hydrological models
1.2.1,1,Ecological & Scientific Knowledge,1.2,SOIL & WATER SCIENCE,Soil classification and mapping,EXPERT,Shapes soil classification and survey standards,Provides national/international leadership in soil science,Contributes to development of soil taxonomy,Leads major soil survey programs,Influences soil survey standards and methods,Recognized expert in regional soil geomorphology,Publishes influential soil science research,
1.2.2,1,Ecological & Scientific Knowledge,1.2,SOIL & WATER SCIENCE,Soil chemistry and biology,FOUNDATIONAL,"Understands basic soil chemistry (pH, nutrients, CEC) and soil organisms",Collects soil samples and interprets basic tests,Collects representative soil samples following protocols,"Interprets soil test results for pH, N-P-K, organic matter",Understands role of soil organisms in nutrient cycling,Recognizes symptoms of nutrient deficiency or toxicity,Follows laboratory safety protocols,
1.2.2,1,Ecological & Scientific Knowledge,1.2,SOIL & WATER SCIENCE,Soil chemistry and biology,INTERMEDIATE,Applies soil chemistry and microbiology principles; understands biogeochemical cycles,Diagnoses soil problems and recommends management,Conducts comprehensive soil chemical analyses,"Interprets complex soil test results (micronutrients, contaminants)","Assesses soil biological activity (respiration, enzyme assays)",Recommends appropriate amendments for soil improvement,Understands soil-plant nutrient relationships,Evaluates contamination risks and remediation needs
1.2.2,1,Ecological & Scientific Knowledge,1.2,SOIL & WATER SCIENCE,Soil chemistry and biology,ADVANCED,Expert in soil chemistry and biology; understands soil food webs and biogeochemistry,Solves complex soil problems; leads soil health initiatives,"Diagnoses complex soil chemistry problems (salinity, sodicity, contamination)",Designs soil health improvement programs,Models soil carbon dynamics and nutrient cycling,"Evaluates emerging contaminants (PFAS, microplastics) in soils","Applies advanced soil biological assessments (DNA sequencing, metabolomics)",Publishes soil chemistry/biology research
1.2.2,1,Ecological & Scientific Knowledge,1.2,SOIL & WATER SCIENCE,Soil chemistry and biology,EXPERT,Shapes soil chemistry and biology science and practice,Leads transformative soil health initiatives,Develops innovative soil health assessment methods,Influences soil health policy and programs,Leads major research programs on soil biogeochemistry,Publishes influential soil science research,Recognized authority in soil chemistry or soil biology,
1.2.3,1,Ecological & Scientific Knowledge,1.2,SOIL & WATER SCIENCE,Watershed hydrology,FOUNDATIONAL,"Understands water cycle, watershed concepts, basic hydrology",Collects hydrologic data and assists with analysis,Delineates watersheds using topographic maps or GIS,Measures streamflow using standard methods,Installs and maintains precipitation gauges and stream gauges,Records water level observations,Understands surface and groundwater interactions,"Calculates basic watershed characteristics (area, slope, stream order)"
1.2.3,1,Ecological & Scientific Knowledge,1.2,SOIL & WATER SCIENCE,Watershed hydrology,INTERMEDIATE,Applies hydrologic principles; understands watershed processes,Analyzes watershed hydrology and develops management recommendations,Conducts water budget analyses,Analyzes streamflow data for trends and peak flows,"Uses hydrologic models (HEC-HMS, SWAT, etc.)",Evaluates effects of land use on watershed hydrology,Designs stream gauging networks,Calculates flood frequencies and recurrence intervals
1.2.3,1,Ecological & Scientific Knowledge,1.2,SOIL & WATER SCIENCE,Watershed hydrology,ADVANCED,Expert in watershed science; understands complex hydrologic systems,Leads watershed studies and management programs,Designs and implements comprehensive watershed studies,Models complex watersheds with multiple land uses,Predicts hydrologic changes under climate scenarios,Evaluates watershed restoration effectiveness,Designs low-impact development and green infrastructure,Integrates water quantity and quality modeling
1.2.3,1,Ecological & Scientific Knowledge,1.2,SOIL & WATER SCIENCE,Watershed hydrology,EXPERT,Shapes watershed science and management practice,Provides leadership on major watershed initiatives,Develops innovative hydrologic modeling approaches,Influences watershed management policy,Leads large-scale watershed programs,Publishes influential hydrology research,Provides expert testimony on water resources,
1.2.4,1,Ecological & Scientific Knowledge,1.2,SOIL & WATER SCIENCE,"Water quality assessment Testing and evaluating water conditions to determine if it is suitable for wildlife, recreation, or human use.",FOUNDATIONAL,Understands basic water quality parameters and standards,Collects water samples and conducts field measurements,Collects water samples following proper protocols,"Measures field parameters (temperature, pH, dissolved oxygen, conductivity)",Maintains chain of custody for samples,Uses water quality testing equipment properly,Interprets basic water quality standards,Recognizes obvious pollution sources
1.2.4,1,Ecological & Scientific Knowledge,1.2,SOIL & WATER SCIENCE,"Water quality assessment Testing and evaluating water conditions to determine if it is suitable for wildlife, recreation, or human use.",INTERMEDIATE,Applies water quality science; understands pollutant fate and transport,Designs monitoring programs and interprets complex results,Designs water quality monitoring programs,Conducts comprehensive water quality assessments,Analyzes trends in water quality data,Identifies pollution sources using multiple lines of evidence,Interprets water quality standards and criteria,Evaluates biological indicators of water quality
1.2.4,1,Ecological & Scientific Knowledge,1.2,SOIL & WATER SCIENCE,"Water quality assessment Testing and evaluating water conditions to determine if it is suitable for wildlife, recreation, or human use.",ADVANCED,Expert in water quality science; understands aquatic ecosystems,Leads water quality programs and develops solutions,Develops watershed-scale water quality programs,Models pollutant loading and transport,"Evaluates emerging contaminants (pharmaceuticals, PFAS, microplastics)",Designs and evaluates water quality improvement projects,Develops TMDLs (Total Maximum Daily Loads),Integrates water quality with ecological and human health risk assessment
1.2.4,1,Ecological & Scientific Knowledge,1.2,SOIL & WATER SCIENCE,"Water quality assessment Testing and evaluating water conditions to determine if it is suitable for wildlife, recreation, or human use.",EXPERT,Shapes water quality science and policy,Leads transformative water quality initiatives,Influences water quality standards and policy,Develops innovative water quality assessment methods,Leads major water quality research or management programs,Publishes influential water quality research,Provides expert testimony on water quality issues,
1.2.5,1,Ecological & Scientific Knowledge,1.2,SOIL & WATER SCIENCE,Erosion processes and control,FOUNDATIONAL,"Understands erosion processes (sheet, rill, gully, streambank, wind)",Identifies erosion problems and installs basic controls,Recognizes different erosion types in the field,"Identifies erosion-prone areas based on slope, soil type, vegetation","Installs erosion control BMPs (silt fences, straw wattles, mulch)","Understands factors affecting erosion (rainfall intensity, slope, soil erodibility)",Monitors erosion control effectiveness,Follows erosion control plans
1.2.5,1,Ecological & Scientific Knowledge,1.2,SOIL & WATER SCIENCE,Erosion processes and control,INTERMEDIATE,Applies erosion science; understands sediment transport,Designs erosion control strategies for sites,"Assesses erosion rates using models (RUSLE, MUSLE, WEPP)",Designs comprehensive erosion control plans,Specifies appropriate erosion control techniques for site conditions,Evaluates streambank erosion and designs stabilization,Uses bioengineering approaches for erosion control,Monitors and adapts erosion control measures
1.2.5,1,Ecological & Scientific Knowledge,1.2,SOIL & WATER SCIENCE,Erosion processes and control,ADVANCED,Expert in erosion and sediment science,Solves complex erosion problems at landscape scale,"Designs complex erosion control for challenging sites (steep slopes, high rainfall, erodible soils)",Models watershed-scale sediment production and delivery,Evaluates geomorphic processes driving erosion,Designs stream channel restoration for erosion control,Integrates erosion control with ecosystem restoration,Evaluates long-term effectiveness of erosion control
1.2.5,1,Ecological & Scientific Knowledge,1.2,SOIL & WATER SCIENCE,Erosion processes and control,EXPERT,Shapes erosion science and management practice,Leads major erosion control or watershed sediment programs,Develops innovative erosion control approaches,Influences erosion control policy and standards,Leads watershed-scale sediment reduction programs,Publishes influential erosion science research,Provides expert consultation on major erosion problems,
1.3.1,1,Ecological & Scientific Knowledge,1.3,FORESTRY SCIENCE,Silviculture principles and practices Knowledge of techniques for growing and cultivating healthy forests for various objectives.,FOUNDATIONAL,Understands basic silvicultural systems (even-aged vs uneven-aged) and treatments,Implements silvicultural treatments under supervision,"Describes common silvicultural systems (clearcutting, shelterwood, selection)",Recognizes different stand development stages,Assists with timber marking and thinning operations,Plants trees following proper techniques,Understands basic tree biology and growth requirements,"Measures treatment outcomes (survival, growth)"
1.3.1,1,Ecological & Scientific Knowledge,1.3,FORESTRY SCIENCE,Silviculture principles and practices Knowledge of techniques for growing and cultivating healthy forests for various objectives.,INTERMEDIATE,Applies silvicultural principles to diverse forest types and objectives,Develops silvicultural prescriptions independently,Writes silvicultural prescriptions for specific stands and objectives,Selects appropriate silvicultural system for site and goals,Marks timber for harvest or thinning,"Designs planting plans (species, spacing, site preparation)",Uses prescribed fire as silvicultural tool,Monitors and evaluates treatment effectiveness
1.3.1,1,Ecological & Scientific Knowledge,1.3,FORESTRY SCIENCE,Silviculture principles and practices Knowledge of techniques for growing and cultivating healthy forests for various objectives.,ADVANCED,Expert in silviculture; understands complex forest dynamics,Designs innovative silvicultural approaches for complex objectives,Develops silvicultural strategies for multi-objective management,Designs treatments for restoration of degraded forests,"Applies silviculture under novel conditions (climate change, new pests)",Models long-term forest development under different treatments,Evaluates silvicultural effectiveness across multiple stands,Integrates carbon sequestration into silvicultural planning
1.3.1,1,Ecological & Scientific Knowledge,1.3,FORESTRY SCIENCE,Silviculture principles and practices Knowledge of techniques for growing and cultivating healthy forests for various objectives.,EXPERT,Shapes silviculture science and practice,Leads transformative silvicultural programs or research,Develops innovative silvicultural systems,Influences silvicultural policy and standards,Leads landscape-scale silvicultural programs,Publishes influential silviculture research,Recognized expert in silviculture for specific forest types,
1.3.2,1,Ecological & Scientific Knowledge,1.3,FORESTRY SCIENCE,Forest mensuration and inventory,FOUNDATIONAL,Understands basic mensuration concepts and tools,Measures trees and collects inventory data,Measures tree diameter (DBH) using diameter tape or calipers,Estimates tree height using clinometer or laser,Records tree data accurately on inventory forms,Understands basic volume and basal area concepts,Establishes inventory plots following protocols,Uses GPS to locate plot centers
1.3.2,1,Ecological & Scientific Knowledge,1.3,FORESTRY SCIENCE,Forest mensuration and inventory,INTERMEDIATE,Applies mensuration and sampling theory,Designs and implements forest inventories,Designs statistically valid sampling schemes,Estimates timber volume using volume tables or equations,"Calculates stand-level metrics (basal area, volume, trees per acre)",Uses forest inventory software,Conducts growth and yield assessments,Determines appropriate sampling intensity for objectives
1.3.2,1,Ecological & Scientific Knowledge,1.3,FORESTRY SCIENCE,Forest mensuration and inventory,ADVANCED,Expert in forest biometrics and inventory design,Leads complex inventory programs,"Designs inventories for diverse objectives (timber, carbon, biodiversity)",Develops or adapts volume equations for local conditions,"Integrates remote sensing (LiDAR, multispectral) with field inventory",Conducts growth modeling and yield prediction,Evaluates inventory precision and cost-effectiveness,Develops forest inventory databases and systems
1.3.2,1,Ecological & Scientific Knowledge,1.3,FORESTRY SCIENCE,Forest mensuration and inventory,EXPERT,Shapes forest inventory science and practice,Develops innovative inventory approaches,Develops new mensuration techniques or models,"Leads national or regional inventory programs (e.g., FIA)",Integrates advanced technologies into operational inventory,Publishes influential biometrics research,Influences inventory standards and methods,
1.3.3,1,Ecological & Scientific Knowledge,1.3,FORESTRY SCIENCE,Stand dynamics and growth modeling Predicting how forests will develop over time under different conditions or management actions.,FOUNDATIONAL,"Understands basic forest growth concepts (diameter growth, height growth, mortality)",Uses growth models with guidance,Explains factors affecting tree and stand growth,"Describes stand development stages (establishment, stem exclusion, understory reinitiation, old growth)","Measures tree growth (increment cores, growth plots)",Uses basic growth and yield tables,Understands density-dependent growth,Interprets growth model outputs
1.3.3,1,Ecological & Scientific Knowledge,1.3,FORESTRY SCIENCE,Stand dynamics and growth modeling Predicting how forests will develop over time under different conditions or management actions.,INTERMEDIATE,Applies growth modeling; understands forest dynamics,Uses models to predict forest development,"Uses forest growth simulators (FVS, Organon, etc.)",Projects stand development under different management scenarios,"Analyzes trade-offs between growth, yield, and structural objectives",Calibrates models for local conditions,Integrates climate data into growth projections,Uses models to support management decisions
1.3.3,1,Ecological & Scientific Knowledge,1.3,FORESTRY SCIENCE,Stand dynamics and growth modeling Predicting how forests will develop over time under different conditions or management actions.,ADVANCED,Expert in forest dynamics and modeling,Develops growth models or leads modeling programs,Develops or adapts growth models for specific applications,"Models complex stand dynamics (mixed species, uneven-aged)","Incorporates disturbance, climate change, and management into projections",Conducts uncertainty and sensitivity analysis for models,Uses individual-tree and landscape-scale models,Evaluates model performance and accuracy
1.3.3,1,Ecological & Scientific Knowledge,1.3,FORESTRY SCIENCE,Stand dynamics and growth modeling Predicting how forests will develop over time under different conditions or management actions.,EXPERT,Shapes forest modeling science,Develops transformative modeling approaches,Develops widely-used growth models,Advances forest modeling theory and methods,"Integrates ecology, economics, and climate in models",Leads major modeling initiatives,Publishes influential modeling research,
1.3.4,1,Ecological & Scientific Knowledge,1.3,FORESTRY SCIENCE,Forest health assessment,FOUNDATIONAL,Recognizes common forest pests and diseases,Identifies obvious forest health problems,Recognizes symptoms of common pests and diseases,Collects samples for expert identification,Documents pest/disease occurrence and severity,Understands basic pest life cycles,Follows forest health monitoring protocols,"Recognizes stress from drought, air pollution, or other abiotic factors"
1.3.4,1,Ecological & Scientific Knowledge,1.3,FORESTRY SCIENCE,Forest health assessment,INTERMEDIATE,Diagnoses forest health problems; understands pest ecology,Conducts forest health assessments and develops recommendations,"Identifies wide range of forest insects, diseases, and disorders",Conducts systematic forest health surveys,Assesses severity and extent of outbreaks,Predicts pest spread and impact,Recommends appropriate management responses,Uses integrated pest management principles
1.3.4,1,Ecological & Scientific Knowledge,1.3,FORESTRY SCIENCE,Forest health assessment,ADVANCED,Expert in forest pathology/entomology,Leads forest health programs,Diagnoses complex forest health problems,Develops forest health monitoring systems,Predicts and models pest outbreaks,Designs integrated management strategies for forest health,Responds to novel pests and diseases,Evaluates forest vulnerability to climate-driven health threats
1.3.4,1,Ecological & Scientific Knowledge,1.3,FORESTRY SCIENCE,Forest health assessment,EXPERT,Shapes forest health science and policy,Leads major forest health initiatives,Influences forest health policy and response,Develops innovative forest health management approaches,Leads response to major forest health crises,Publishes influential forest pathology/entomology research,Recognized expert in specific pest or disease systems,
1.3.5,1,Ecological & Scientific Knowledge,1.3,FORESTRY SCIENCE,Timber management planning,FOUNDATIONAL,Understands timber harvest systems and basic planning,Assists with timber sale preparation,"Describes harvest systems (clearcut, shelterwood, selection, thinning)",Marks unit boundaries and leave trees,Assists with timber volume estimation,Understands harvest equipment and capabilities,Follows best management practices during harvest,Monitors harvest operations for contract compliance
1.3.5,1,Ecological & Scientific Knowledge,1.3,FORESTRY SCIENCE,Timber management planning,INTERMEDIATE,Applies timber management principles; integrates multiple objectives,Develops timber harvest plans independently,Designs harvest units meeting ecological and economic objectives,Estimates timber value and stumpage rates,Writes timber sale contracts and specifications,Coordinates timber sale administration,Ensures compliance with Best Management Practices,"Integrates wildlife habitat, water quality, recreation in harvest planning"
1.3.5,1,Ecological & Scientific Knowledge,1.3,FORESTRY SCIENCE,Timber management planning,ADVANCED,Expert in sustainable timber management,Leads comprehensive timber management programs,Develops long-term sustainable harvest strategies,Optimizes harvest scheduling across landscapes,"Integrates carbon, biodiversity, and timber objectives","Ensures third-party certification (FSC, SFI) compliance",Evaluates and improves harvest practices for ecological outcomes,Manages complex timber programs across ownership types
1.3.5,1,Ecological & Scientific Knowledge,1.3,FORESTRY SCIENCE,Timber management planning,EXPERT,Shapes sustainable forestry policy and practice,Leads transformative timber management initiatives,Influences sustainable forestry standards and certification,Develops innovative timber management approaches,Leads landscape-scale sustainable forestry programs,Provides expert consultation on complex timber issues,Publishes influential forestry research,
1.4.1,1,Ecological & Scientific Knowledge,1.4,WILDLIFE & FISHERIES BIOLOGY,Population dynamics and modeling,FOUNDATIONAL,"Understands basic population concepts (birth/death rates, carrying capacity, density dependence)",Collects population data and assists with basic analyses,"Explains population growth models (exponential, logistic)",Collects mark-recapture or count data following protocols,"Calculates basic population metrics (density, sex ratio, age structure)",Understands factors affecting population change,Plots population trends over time,Recognizes population cycles and patterns
1.4.1,1,Ecological & Scientific Knowledge,1.4,WILDLIFE & FISHERIES BIOLOGY,Population dynamics and modeling,INTERMEDIATE,Applies population ecology theory and statistical methods,Analyzes population data and makes management recommendations,"Conducts mark-recapture analysis (Lincoln-Petersen, Jolly-Seber)",Uses survival analysis and life table methods,"Analyzes population trends using statistical software (Program MARK, R)","Estimates vital rates (survival, fecundity, recruitment)",Identifies density-dependent and independent factors,Uses harvest models to set sustainable take levels
1.4.1,1,Ecological & Scientific Knowledge,1.4,WILDLIFE & FISHERIES BIOLOGY,Population dynamics and modeling,ADVANCED,Expert in population modeling; understands complex population dynamics,Develops population models for management and conservation,Builds population viability models (PVA) for threatened species,Uses matrix models and individual-based models,Incorporates environmental stochasticity and demographic uncertainty,Models metapopulation dynamics and connectivity,Predicts population responses to climate change,Evaluates effectiveness of management actions on populations
1.4.1,1,Ecological & Scientific Knowledge,1.4,WILDLIFE & FISHERIES BIOLOGY,Population dynamics and modeling,EXPERT,Shapes population ecology science and application,Leads major population research or management programs,Develops innovative population modeling approaches,Influences population management policy and standards,Leads endangered species recovery programs,Publishes influential population ecology research,Provides expert testimony on population issues,
1.4.2,1,Ecological & Scientific Knowledge,1.4,WILDLIFE & FISHERIES BIOLOGY,Wildlife survey techniques Methods for counting and monitoring different animal species to track population health and distribution.,FOUNDATIONAL,Understands basic survey methods for different taxa,Conducts wildlife surveys following established protocols,"Conducts point counts, transects, or plot surveys",Sets trail cameras and downloads/processes images,Uses binoculars and spotting scopes for visual surveys,Records observations on standardized datasheets,Follows animal handling protocols safely and humanely,Recognizes survey biases and detection probability issues
1.4.2,1,Ecological & Scientific Knowledge,1.4,WILDLIFE & FISHERIES BIOLOGY,Wildlife survey techniques Methods for counting and monitoring different animal species to track population health and distribution.,INTERMEDIATE,Applies survey design principles; understands detectability and sampling theory,Designs and implements survey programs,Designs statistically valid survey protocols,Selects appropriate survey methods for species and objectives,Uses distance sampling methods and analysis,Conducts occupancy surveys and modeling,Deploys and manages acoustic monitoring arrays,Uses mark-recapture techniques
1.4.2,1,Ecological & Scientific Knowledge,1.4,WILDLIFE & FISHERIES BIOLOGY,Wildlife survey techniques Methods for counting and monitoring different animal species to track population health and distribution.,ADVANCED,Expert in wildlife survey methodology,Leads complex multi-species monitoring programs,Develops comprehensive monitoring programs across landscapes,"Uses advanced techniques (eDNA, drones, automated sensors)",Integrates multiple survey methods for robust inference,Evaluates survey effectiveness and cost-efficiency,Uses citizen science and community-based monitoring,Applies AI/machine learning for automated species detection
1.4.2,1,Ecological & Scientific Knowledge,1.4,WILDLIFE & FISHERIES BIOLOGY,Wildlife survey techniques Methods for counting and monitoring different animal species to track population health and distribution.,EXPERT,Shapes wildlife monitoring science and standards,Leads transformative monitoring initiatives,Develops innovative monitoring approaches adopted widely,Influences national/international monitoring standards,"Leads large-scale monitoring programs (e.g., national bird surveys)",Publishes influential survey methodology research,Provides expert guidance on monitoring design,
1.4.3,1,Ecological & Scientific Knowledge,1.4,WILDLIFE & FISHERIES BIOLOGY,Species identification and classification Accurately identifying different animals and understanding how they are related taxonomically.,FOUNDATIONAL,Knows common species in local area; understands basic taxonomy,Identifies common species in the field,Identifies common local wildlife to species level,Uses field guides and identification keys,Distinguishes similar species using field marks,Records species observations with accurate nomenclature,Understands taxonomic hierarchy (kingdom to species),Recognizes when expert verification is needed
