Competency Code,Domain #,Domain Name,Skill Area Code,Skill Area Name,Competency Title,Description,Job Task 1,Job Task 2,Job Task 3,Foundational - Knowledge,Foundational - Application,Intermediate - Knowledge,Intermediate - Application,Advanced - Knowledge,Advanced - Application,Expert - Knowledge,Expert - Application,Public Agencies,Private Sector,NGOs,Consulting,Academia
1.3.1,1,Ecological & Scientific Knowledge,1.3,FORESTRY SCIENCE,Silviculture principles and practices Knowledge of techniques for growing and cultivating healthy forests for various objectives.,,Develop silvicultural prescriptions tailored to stand objectives and site conditions,"Implement thinning, planting, or prescribed fire treatments to meet management goals",Monitor treatment areas to assess success and adapt practices,Understands basic silvicultural systems (even-aged vs uneven-aged) and treatments,Implements silvicultural treatments under supervision,Applies silvicultural principles to diverse forest types and objectives,Develops silvicultural prescriptions independently,Expert in silviculture; understands complex forest dynamics,Designs innovative silvicultural approaches for complex objectives,Shapes silviculture science and practice,Leads transformative silvicultural programs or research,"National forest management, state forestry programs","Industrial forestry, family forest management, timber investment","Forest restoration, working forest conservation","Forest management planning, timber appraisal","Silviculture research, forest ecology"
1.3.2,1,Ecological & Scientific Knowledge,1.3,FORESTRY SCIENCE,Forest mensuration and inventory,"Measuring and cataloging forest resources, such as tree size, volume, and distribution across a landscape.","Measure tree height, diameter, and age using field instruments",Conduct forest inventories to estimate timber volume and species composition,Input inventory data into forest management databases for analysis,Understands basic mensuration concepts and tools,Measures trees and collects inventory data,Applies mensuration and sampling theory,Designs and implements forest inventories,Expert in forest biometrics and inventory design,Leads complex inventory programs,Shapes forest inventory science and practice,Develops innovative inventory approaches,"Forest inventory programs (FIA), national forest planning","Timber cruising, carbon inventory, forest valuation","Forest monitoring, carbon project verification","Timber inventory, appraisal, carbon accounting","Forest biometrics research, inventory design"
1.3.3,1,Ecological & Scientific Knowledge,1.3,FORESTRY SCIENCE,Stand dynamics and growth modeling Predicting how forests will develop over time under different conditions or management actions.,,Use software tools to simulate forest growth under different management scenarios,Analyze stand development stages and predict yield over time,Recommend silvicultural interventions to optimize growth or habitat structure,"Understands basic forest growth concepts (diameter growth, height growth, mortality)",Uses growth models with guidance,Applies growth modeling; understands forest dynamics,Uses models to predict forest development,Expert in forest dynamics and modeling,Develops growth models or leads modeling programs,Shapes forest modeling science,Develops transformative modeling approaches,"Forest planning, growth and yield programs","Timber production modeling, rotation age optimization","Carbon sequestration modeling, habitat projection","Growth and yield analysis, management planning","Forest dynamics research, model development"
1.3.4,1,Ecological & Scientific Knowledge,1.3,FORESTRY SCIENCE,Forest health assessment,"Evaluating threats to forests from insects, disease, or other stressors, and determining forest condition.","Survey forests for signs of pest outbreaks, disease, or stress",Diagnose biotic and abiotic stressors impacting tree health,Propose mitigation strategies such as sanitation cuts or biological controls,Recognizes common forest pests and diseases,Identifies obvious forest health problems,Diagnoses forest health problems; understands pest ecology,Conducts forest health assessments and develops recommendations,Expert in forest pathology/entomology,Leads forest health programs,Shapes forest health science and policy,Leads major forest health initiatives,"Forest health monitoring, pest response programs","Timber damage assessment, forest health management","Forest health monitoring, native tree conservation","Forest health surveys, treatment recommendations",Forest pathology/entomology research
1.3.5,1,Ecological & Scientific Knowledge,1.3,FORESTRY SCIENCE,Timber management planning,Developing strategies for sustainable harvesting of trees while maintaining forest ecosystem health.,Develop timber harvest plans that balance ecological and economic goals,"Coordinate permitting, layout, and logistics for timber sales",Monitor harvesting operations for compliance with environmental standards,Understands timber harvest systems and basic planning,Assists with timber sale preparation,Applies timber management principles; integrates multiple objectives,Develops timber harvest plans independently,Expert in sustainable timber management,Leads comprehensive timber management programs,Shapes sustainable forestry policy and practice,Leads transformative timber management initiatives,National/state forest timber programs,"Industrial timber management, consulting forestry","Working forest conservation, sustainable forestry certification","Timber management planning, appraisal, procurement",Sustainable forestry research
1.4.1,1,Ecological & Scientific Knowledge,1.4,WILDLIFE & FISHERIES BIOLOGY,Population dynamics and modeling,"Understanding how animal populations grow, decline, and respond to changes in their environment over time.",Analyze population trends using field data and statistical models,Simulate population responses to habitat changes or management actions,Provide population viability assessments for at-risk species,"Understands basic population concepts (birth/death rates, carrying capacity, density dependence)",Collects population data and assists with basic analyses,Applies population ecology theory and statistical methods,Analyzes population data and makes management recommendations,Expert in population modeling; understands complex population dynamics,Develops population models for management and conservation,Shapes population ecology science and application,Leads major population research or management programs,"Wildlife population management, endangered species recovery, harvest management","Wildlife population monitoring on private lands, hunting operations","Species conservation, population monitoring programs","Population assessments for development projects, conservation planning","Population ecology research, conservation biology"
1.4.2,1,Ecological & Scientific Knowledge,1.4,WILDLIFE & FISHERIES BIOLOGY,Wildlife survey techniques Methods for counting and monitoring different animal species to track population health and distribution.,,"Deploy trail cameras, acoustic sensors, or live traps to monitor wildlife presence",Conduct aerial or ground-based surveys to estimate species abundance,Train field crews in standardized wildlife monitoring protocols,Understands basic survey methods for different taxa,Conducts wildlife surveys following established protocols,Applies survey design principles; understands detectability and sampling theory,Designs and implements survey programs,Expert in wildlife survey methodology,Leads complex multi-species monitoring programs,Shapes wildlife monitoring science and standards,Leads transformative monitoring initiatives,"Wildlife population surveys, species inventory, monitoring programs","Wildlife monitoring for mitigation, game management surveys","Species monitoring, citizen science programs","Baseline wildlife surveys, pre/post-project monitoring","Survey methodology research, long-term studies"
1.4.3,1,Ecological & Scientific Knowledge,1.4,WILDLIFE & FISHERIES BIOLOGY,Species identification and classification Accurately identifying different animals and understanding how they are related taxonomically.,,"Use field guides, keys, or genetic tools to identify species accurately",Record and classify species observations in biological databases,Train staff or volunteers on species recognition and data recording,Knows common species in local area; understands basic taxonomy,Identifies common species in the field,Expert in regional fauna; understands functional morphology and taxonomy,Identifies diverse species including difficult taxa,Taxonomic expert for specific groups; understands evolutionary relationships,Serves as identification authority; resolves difficult identifications,Shapes taxonomic understanding of groups,Contributes to taxonomic revisions; influences classification,"Species documentation, rare species verification, inventory programs","Species lists for projects, wildlife surveys","Biodiversity documentation, rare species monitoring",Species identification for environmental assessments,"Taxonomy research, museum curation, systematic biology"
1.4.4,1,Ecological & Scientific Knowledge,1.4,WILDLIFE & FISHERIES BIOLOGY,Animal behavior and habitat relationships,Understanding how animals behave in their environment and what habitat features they need to survive.,"Study movement patterns, mating behavior, or foraging strategies in the field",Correlate wildlife use patterns with habitat variables using GPS or GIS,Recommend habitat improvements based on behavioral observations,Understands basic animal behavior concepts and habitat needs,Observes and records animal behavior,Applies animal behavior theory; understands resource selection,Analyzes habitat use and behavior patterns,Expert in behavioral ecology and habitat relationships,Leads research on animal behavior and habitat use,Shapes understanding of animal behavior and conservation,Leads transformative behavioral ecology programs,"Habitat management, human-wildlife conflict resolution, movement ecology","Wildlife-friendly infrastructure design, behavioral mitigation","Wildlife corridor conservation, habitat protection","Behavioral impact assessments, habitat mitigation design","Behavioral ecology research, animal cognition"
1.4.5,1,Ecological & Scientific Knowledge,1.4,WILDLIFE & FISHERIES BIOLOGY,"Fisheries management principles Approaches to sustainably managing fish populations in lakes, rivers, and streams for conservation or recreation.",,"Assess fish populations using netting, electrofishing, or sonar","Recommend harvest limits, stocking plans, or habitat improvements for fishery sustainability",Monitor water quality and aquatic habitat conditions affecting fish health,Understands basic fisheries concepts and survey methods,Assists with fish sampling and data collection,Applies fisheries science; understands population dynamics and harvest,Conducts fisheries assessments and develops recommendations,Expert in fisheries science and aquatic ecosystem management,Leads comprehensive fisheries management programs,Shapes fisheries science and management practice,Leads major fisheries programs or policy initiatives,"State/federal fisheries programs, endangered fish recovery","Aquaculture, private pond management, fishing guide services","Fisheries conservation, river restoration, angler engagement","Fisheries impact assessments, mitigation design","Fisheries science research, aquatic ecology"
1.5.1,1,Ecological & Scientific Knowledge,1.5,CLIMATE SCIENCE,Climate data analysis and interpretation,Understanding and using climate data products—from historical records to future projections—to inform land management decisions.,"Download, process, and interpret downscaled climate projections for a management unit","Analyze historical climate trends to identify shifts in temperature, precipitation, or extreme events",Translate climate model outputs into actionable information for resource managers and planners,"Understands basic climate concepts (weather vs. climate, climate variability, greenhouse effect)",Accesses and interprets basic climate data products,Applies climate science to ecological and management questions; understands projection methods,Analyzes climate data and communicates findings to managers,"Expert in climate data sources, methods, and limitations; understands regional climate dynamics",Leads climate data analysis for complex planning efforts,Shapes how climate science informs natural resource management,Provides climate science leadership at regional or national scales,"Forest plan climate analysis, climate screening for infrastructure, drought planning","Climate risk assessment for assets, climate services consulting, insurance applications","Climate vulnerability assessments for conservation priorities, climate communication","Climate analysis for NEPA, climate risk disclosure support","Climate impacts research, climate data product development"
1.5.2,1,Ecological & Scientific Knowledge,1.5,CLIMATE SCIENCE,Climate vulnerability assessment,"Systematically evaluating how climate change threatens species, ecosystems, infrastructure, and communities to prioritize adaptation actions.",Conduct vulnerability assessments for focal species or ecosystems using established frameworks,"Identify climate exposure, sensitivity, and adaptive capacity for management units",Synthesize vulnerability findings into actionable recommendations for managers,"Understands vulnerability framework concepts (exposure, sensitivity, adaptive capacity)",Assists with vulnerability assessments using established protocols,Applies vulnerability assessment frameworks; understands ecological climate sensitivities,"Conducts vulnerability assessments for species, ecosystems, or areas",Expert in vulnerability science; understands multiple frameworks and their applications,Designs and leads comprehensive vulnerability assessments,Advances vulnerability assessment science and application,Shapes how vulnerability assessment informs conservation and management,"National forest vulnerability assessments, wildlife action plan climate chapters, infrastructure risk assessment","Asset vulnerability assessment, supply chain climate risk, natural capital risk","Conservation priority vulnerability ranking, climate-smart conservation planning","Vulnerability assessments for NEPA, climate risk disclosure","Vulnerability framework development, comparative vulnerability research"
1.5.3,1,Ecological & Scientific Knowledge,1.5,CLIMATE SCIENCE,Climate adaptation planning,"Developing strategies and actions to help species, ecosystems, and human communities adjust to changing climate conditions.",Facilitate adaptation planning workshops with resource managers and stakeholders,Develop climate adaptation strategies that align with agency mandates and planning frameworks,Identify and evaluate adaptation options using decision-support tools,"Understands adaptation concepts (resistance, resilience, transformation); knows adaptation differs from mitigation",Supports adaptation planning processes,Applies adaptation frameworks; understands how adaptation integrates with existing planning,Develops adaptation strategies and facilitates planning processes,Expert in adaptation science and planning; understands transformation and managed change,Leads complex adaptation initiatives across programs or landscapes,Shapes adaptation science and practice at field or policy levels,Provides adaptation leadership nationally or internationally,"Forest plan adaptation components, climate-informed wildlife management, infrastructure adaptation","Corporate climate adaptation strategy, climate-resilient supply chains","Climate-smart conservation implementation, adaptation advocacy","Adaptation planning support, climate resilience assessment","Adaptation science research, adaptation planning frameworks"
1.5.4,1,Ecological & Scientific Knowledge,1.5,CLIMATE SCIENCE,Carbon cycle science,Understanding how carbon moves through ecosystems and how land management affects carbon storage and emissions.,"Estimate carbon stocks and fluxes in forests, soils, or other ecosystems using field measurements and models",Evaluate how management alternatives affect carbon sequestration and storage,"Support carbon accounting for agency reporting, project development, or carbon markets","Understands basic carbon cycle concepts (pools, fluxes, sequestration)",Collects carbon-related field data; uses basic carbon tools,Applies carbon accounting methods; understands carbon dynamics in managed systems,Estimates carbon stocks and evaluates management effects on carbon,Expert in carbon science; understands carbon across ecosystems and management contexts,Leads carbon assessment programs and integrates carbon into planning,Shapes carbon science and its application to land management,Provides carbon science leadership at regional or national scales,"National forest carbon assessments, agency carbon reporting, carbon-informed planning","Forest carbon project development, corporate carbon footprint, carbon offset verification","Nature-based solutions advocacy, carbon project development","Carbon inventory services, carbon market support, lifecycle assessment","Carbon cycle research, carbon modeling, methodology development"
1.5.5,1,Ecological & Scientific Knowledge,1.5,CLIMATE SCIENCE,Phenology and climate-biosphere interactions,"Understanding how seasonal biological events (flowering, migration, emergence) respond to climate and how these changes cascade through ecosystems.","Monitor phenological events (bud break, flowering, migration timing) using field observation or remote sensing",Analyze phenological trends and their relationships to climate variables,Assess phenological mismatches and their ecological consequences,Understands phenology concepts and why timing matters ecologically,Collects phenological observations using standard protocols,Applies phenological science; understands climate-phenology relationships,Analyzes phenological data and interprets trends,Expert in phenological science and its ecological implications,Leads phenological research and applies findings to management,Shapes phenological science and its application to conservation,Provides phenology leadership and innovation,"Phenological monitoring networks, management timing guidance, climate indicator tracking","Agricultural phenology services, pest emergence prediction","Citizen science phenology programs, climate change communication",Phenological assessment for impact analysis,"Phenology research, climate-ecology interactions"
1.6.1,1,Ecological & Scientific Knowledge,1.6,BIOTECHNOLOGY & GENETICS,Conservation genetics principles,"Understanding how genetic diversity, gene flow, and evolutionary processes affect population viability and conservation outcomes.","Interpret genetic study results to inform translocation, reintroduction, or management unit decisions",Assess genetic diversity and structure in populations of conservation concern,Advise managers on genetic considerations in species recovery planning,"Understands basic genetic concepts (alleles, genetic diversity, gene flow, genetic drift)",Recognizes when genetic considerations are relevant to management,Applies conservation genetics concepts; interprets genetic data and study designs,Integrates genetic information into management recommendations,Expert in conservation genetics; understands landscape genetics and evolutionary potential,Leads integration of genetics into conservation programs,Shapes conservation genetics practice and policy,Provides genetics leadership nationally or internationally,"ESA recovery planning genetics, genetic management of small populations, genetic monitoring","Genetic assessment for mitigation, conservation breeding programs","Genetic considerations in conservation prioritization, genetic rescue advocacy","Genetic surveys and analysis, genetic management recommendations","Conservation genetics research, method development"
1.6.2,1,Ecological & Scientific Knowledge,1.6,BIOTECHNOLOGY & GENETICS,Environmental DNA (eDNA) methods,"Using DNA shed by organisms into their environment (water, soil, air) to detect species presence without direct observation.",Design and implement eDNA sampling protocols for species detection,Interpret eDNA results and communicate detection findings with appropriate uncertainty,Evaluate when eDNA is appropriate versus traditional survey methods,"Understands eDNA concepts (DNA shedding, persistence, detection)",Collects eDNA samples following established protocols,Applies eDNA methods; understands study design and interpretation,Designs eDNA surveys and interprets results for management,Expert in eDNA science; understands method development and limitations,Leads eDNA programs and advances applications,Shapes eDNA science and application in conservation,Provides eDNA leadership and innovation,"Rare species surveys, invasive species early detection, ESA compliance monitoring","Pre-project species surveys, aquatic monitoring, environmental compliance","Biodiversity assessment, conservation monitoring, citizen science eDNA","eDNA surveys for permitting, species detection services","eDNA method development, ecology research applications"
1.6.3,1,Ecological & Scientific Knowledge,1.6,BIOTECHNOLOGY & GENETICS,Population genomics and genetic diversity,"Using genome-wide data to assess genetic health, adaptation, and evolutionary history of populations.","Interpret genomic analyses of population structure, diversity, and adaptive variation",Apply genomic findings to inform management of genetic diversity,"Evaluate inbreeding, genetic load, and evolutionary potential in populations of concern",Understands basic genomics concepts and how they extend from genetics,Recognizes when genomic approaches offer advantages over traditional genetics,Applies population genomics concepts; interprets common analyses,Uses genomic information in conservation planning,Expert in population genomics applications; understands analytical approaches,Leads integration of genomics into conservation programs,Shapes how genomics informs conservation practice,Provides genomics leadership nationally or internationally,"Genomic assessment of listed species, adaptive potential evaluation, genetic rescue planning","Genomic services, breeding program optimization",Genomic prioritization of conservation investments,"Genomic analysis services, conservation breeding support","Population genomics research, method development"
1.6.4,1,Ecological & Scientific Knowledge,1.6,BIOTECHNOLOGY & GENETICS,Molecular ecology applications,Using molecular tools beyond genetics/genomics to understand ecological processes and inform management.,"Apply molecular diet analysis, stable isotopes, or microbiome studies to ecological questions",Interpret molecular ecology studies for management implications,Identify when molecular approaches can answer questions that traditional methods cannot,Understands that molecular tools extend beyond species genetics to ecological questions,Recognizes applications of molecular ecology,Applies molecular ecology concepts; understands method selection,Integrates molecular ecology findings into management,Expert in molecular ecology applications across multiple methods,Leads molecular ecology programs and advances applications,Shapes molecular ecology practice in conservation,Provides molecular ecology leadership and innovation,"Diet studies for management, disease ecology, stress monitoring","Molecular ecology services, environmental monitoring",Applied molecular ecology for conservation questions,"Molecular diet analysis, isotope studies","Molecular ecology research, method development"
1.6.5,1,Ecological & Scientific Knowledge,1.6,BIOTECHNOLOGY & GENETICS,Genetic tools for species management,"Applying genetic and genomic information directly to management decisions including translocations, captive breeding, and genetic rescue.",Develop genetic management recommendations for translocation or reintroduction programs,Apply genetic principles to captive breeding and ex situ conservation,Evaluate and implement genetic rescue for inbred populations,Understands that genetics informs hands-on species management,Recognizes genetic considerations in species management,Applies genetic management principles; interprets guidance documents,Integrates genetic considerations into species management,Expert in genetic management; understands tradeoffs and controversies,Leads genetic management programs,Shapes genetic management practice and policy,Provides genetic management leadership,"ESA genetic management, translocation genetics, genetic rescue implementation","Captive breeding genetics, conservation breeding programs","Genetic rescue advocacy, Species Survival Plans","Genetic management recommendations, translocation support","Conservation breeding research, genetic management science"
1.7.1,1,Ecological & Scientific Knowledge,1.7,NOVEL ECOSYSTEMS & ADAPTATION,Novel ecosystem recognition and assessment,Identifying when ecosystems have crossed thresholds into fundamentally new states and assessing their ecological function and conservation value.,Evaluate whether an ecosystem has transformed beyond its historical range of variability,Assess ecological function and conservation value in ecosystems with novel species compositions,Determine when restoration to historical conditions is feasible versus when transformation is irreversible,Understands novel ecosystem concepts and why they're increasingly relevant,Recognizes examples of novel ecosystems,Applies novel ecosystem concepts; understands assessment approaches,Assesses ecosystem novelty and evaluates function,Expert in novel ecosystem science; understands management implications,Leads assessment and planning for novel ecosystems,Shapes novel ecosystem science and management practice,Provides thought leadership on ecosystem transformation,"Forest plan desired conditions under transformation, wildlife habitat assessment in novel systems","Ecosystem service valuation in novel systems, adaptive management frameworks","Conservation strategy in transforming landscapes, stakeholder communication","Novel ecosystem assessment, restoration feasibility analysis","Novel ecosystem research, conceptual development"
1.7.2,1,Ecological & Scientific Knowledge,1.7,NOVEL ECOSYSTEMS & ADAPTATION,Assisted migration and managed relocation,Intentionally moving species to new locations to help them track suitable climate or escape threats they cannot avoid naturally.,Evaluate candidate species and situations for assisted migration,Assess risks and benefits of proposed managed relocations,Develop protocols for assisted migration implementation and monitoring,Understands assisted migration concepts and the debate surrounding it,Recognizes when assisted migration might be considered,Applies assisted migration decision frameworks; understands risk assessment,Evaluates assisted migration proposals,Expert in assisted migration science and implementation,Leads assisted migration programs and policy development,Shapes assisted migration practice and policy,Provides national leadership on assisted migration,"Forestry assisted migration (seed zones), wildlife managed relocation, policy development","Climate-adapted seed sources, assisted migration for mitigation","Assisted migration advocacy or opposition, conservation translocations","Assisted migration feasibility assessment, risk evaluation","Assisted migration research, policy analysis"
1.7.3,1,Ecological & Scientific Knowledge,1.7,NOVEL ECOSYSTEMS & ADAPTATION,Climate refugia identification,"Locating areas where species may persist as surrounding habitats become unsuitable, and prioritizing these areas for protection.","Map potential climate refugia using topographic, hydrologic, and climate data",Evaluate refugia characteristics and their capacity to support climate-sensitive species,Integrate refugia identification into conservation prioritization and land protection,Understands refugia concepts and why they matter for conservation,Recognizes potential refugia features,Applies refugia identification methods; understands modeling approaches,Maps and evaluates potential refugia,Expert in refugia science; understands temporal dynamics and management,Leads refugia identification and conservation programs,Shapes refugia science and conservation application,Provides refugia leadership regionally or nationally,"Land acquisition prioritization, protected area management, climate adaptation planning","Conservation development, mitigation site selection","Land protection priorities, conservation easement targeting",Refugia analysis for conservation planning,"Refugia research, modeling approaches"
