Domain #,Domain Name,Skill Area Code,Skill Area Name,Competency Count,Competency Codes
2,Technical & Technological Skills,2.6,AI-ENHANCED ENVIRONMENTAL MONITORING,5,"2.6.1, 2.6.2, 2.6.3, 2.6.4, 2.6.5"
2,Technical & Technological Skills,2.7,IMMERSIVE TECHNOLOGIES,5,"2.7.1, 2.7.2, 2.7.3, 2.7.4, 2.7.5"
3,Management & Administrative Skills,3.1,PROJECT MANAGEMENT,5,"3.1.1, 3.1.2, 3.1.3, 3.1.4, 3.1.5"
3,Management & Administrative Skills,3.2,STRATEGIC PLANNING,5,"3.2.1, 3.2.2, 3.2.3, 3.2.4, 3.2.5"
3,Management & Administrative Skills,3.3,RESOURCE ADMINISTRATION,5,"3.3.1, 3.3.2, 3.3.3, 3.3.4, 3.3.5"
3,Management & Administrative Skills,3.4,FINANCIAL MANAGEMENT,5,"3.4.1, 3.4.2, 3.4.3, 3.4.4, 3.4.5"
3,Management & Administrative Skills,3.5,LEADERSHIP,5,"3.5.1, 3.5.2, 3.5.3, 3.5.4, 3.5.5"
3,Management & Administrative Skills,3.6,CORPORATE SUSTAINABILITY & ESG MANAGEMENT,5,"3.6.1, 3.6.2, 3.6.3, 3.6.4, 3.6.5"
3,Management & Administrative Skills,3.7,CIRCULAR ECONOMY & WASTE SYSTEMS,5,"3.7.1, 3.7.2, 3.7.3, 3.7.4, 3.7.5"
4,Field Operations Skills,4.1,FIELD ASSESSMENT & MONITORING,5,"4.1.1, 4.1.2, 4.1.3, 4.1.4, 4.1.5"
4,Field Operations Skills,4.2,LAND MANAGEMENT IMPLEMENTATION,5,"4.2.1, 4.2.2, 4.2.3, 4.2.4, 4.2.5"
4,Field Operations Skills,4.3,FIRE MANAGEMENT,5,"4.3.1, 4.3.2, 4.3.3, 4.3.4, 4.3.5"
4,Field Operations Skills,4.4,SAFETY & EMERGENCY RESPONSE,5,"4.4.1, 4.4.2, 4.4.3, 4.4.4, 4.4.5"
4,Field Operations Skills,4.5,EQUIPMENT OPERATION,5,"4.5.1, 4.5.2, 4.5.3, 4.5.4, 4.5.5"
4,Field Operations Skills,4.6,SUSTAINABLE AGRICULTURE IMPLEMENTATION,5,"4.6.1, 4.6.2, 4.6.3, 4.6.4, 4.6.5"
4,Field Operations Skills,4.7,URBAN ENVIRONMENTAL INFRASTRUCTURE,5,"4.7.1, 4.7.2, 4.7.3, 4.7.4, 4.7.5"
5,Communication & Engagement Skills,5.1,PUBLIC COMMUNICATION,5,"5.1.1, 5.1.2, 5.1.3, 5.1.4, 5.1.5"
5,Communication & Engagement Skills,5.2,STAKEHOLDER ENGAGEMENT,5,"5.2.1, 5.2.2, 5.2.3, 5.2.4, 5.2.5"
5,Communication & Engagement Skills,5.3,CULTURAL COMPETENCY,5,"5.3.1, 5.3.2, 5.3.3, 5.3.4, 5.3.5"
5,Communication & Engagement Skills,5.4,EDUCATION & OUTREACH,5,"5.4.1, 5.4.2, 5.4.3, 5.4.4, 5.4.5"
5,Communication & Engagement Skills,5.5,CUSTOMER SERVICE,5,"5.5.1, 5.5.2, 5.5.3, 5.5.4, 5.5.5"
5,Communication & Engagement Skills,5.6,SOCIAL SCIENCE & BEHAVIORAL CHANGE (NEW),5,"5.6.1, 5.6.2, 5.6.3, 5.6.4, 5.6.5"
6,Policy & Regulatory Skills,6.1,ENVIRONMENTAL LAW & REGULATION,5,"6.1.1, 6.1.2, 6.1.3, 6.1.4, 6.1.5"
6,Policy & Regulatory Skills,6.2,LAND USE PLANNING,5,"6.2.1, 6.2.2, 6.2.3, 6.2.4, 6.2.5"
6,Policy & Regulatory Skills,6.3,RESOURCE ECONOMICS,5,"6.3.1, 6.3.2, 6.3.3, 6.3.4, 6.3.5"
6,Policy & Regulatory Skills,6.4,POLICY DEVELOPMENT,5,"6.4.1, 6.4.2, 6.4.3, 6.4.4, 6.4.5"
6,Policy & Regulatory Skills,6.5,INTERGOVERNMENTAL RELATIONS,5,"6.5.1, 6.5.2, 6.5.3, 6.5.4, 6.5.5"
6,Policy & Regulatory Skills,6.6,ENVIRONMENTAL MARKETS,5,"6.6.1, 6.6.2, 6.6.3, 6.6.4, 6.6.5"
6,Policy & Regulatory Skills,6.7,ENVIRONMENTAL HEALTH & JUSTICE,5,"6.7.1, 6.7.2, 6.7.3, 6.7.4, 6.7.5"
6,Policy & Regulatory Skills,6.8,CLIMATE FINANCE & INVESTMENT,5,"6.8.1, 6.8.2, 6.8.3, 6.8.4, 6.8.5"
7,Cross-Cutting Professional Practice,7.1,Professional Ethics Architecture,4,"7.1.1, 7.1.2, 7.1.3, 7.1.4"
7,Cross-Cutting Professional Practice,7.2,Human-AI Professional Practice,3,"7.2.1, 7.2.2, 7.2.3"
