DATA DICTIONARY,,,
"Column definitions, controlled vocabularies, and lens numbering reference",,,
FIELD,SHEET,VALUES / VOCABULARY,NOTES
T13: Tx Horizon,Dimension Tags,1 | 2 | 3 | N,"Time horizon. 1=Deployed now, 2=3-5 years, 3=5-10+ years, N=Human-Essential (no automation trajectory)"
T13: CLD Flag,Dimension Tags,TRUE | FALSE,Career Ladder Destruction flag: TRUE if any P-position Ac/S/V task exists for this competency
T13: Data Provenance,Dimension Tags,Session-direct | Reconstructed (D2) | Reconstructed (D6),Documents how T13 classifications were derived. Session-direct=classified live in session. Reconstructed=derived post-hoc from working record documents.
T13: CLD Severity,Dimension Tags,High | Moderate | Low | blank,Career Ladder Destruction severity gradient. High=primary learning mechanism substantially eliminated. Moderate=developmental value meaningfully compressed; review-and-certify function partially survives. Low=administrative overhead automated; developmental content was incidental. Blank=CLD Flag FALSE. Assigned per Standing Rule R9.
T13: S-Trajectory Flag,Dimension Tags,TRUE | FALSE,S-trajectory Delphi flag: TRUE if Ac task has documented trajectory toward full Substitution
,,,
DOMAIN 7 ARCHITECTURE DECISION,,,
Decision,Task 14 code scheme,Option A: Domain 7 (Cross-Cutting Professional Practice),"Ratified February 2026. Cross-cutting competencies use standard D.SA.N coding under Domain 7. GitBook display name: ""Cross-Cutting Professional Practice."" No Python export exception handling required."
7.1 Skill Area Name,Dimension Tags,Professional Ethics Architecture,Four competencies: 7.1.1 Indigenous Data Sovereignty and Governance; 7.1.2 Intervention Authorization and Ecological Precaution; 7.1.3 Regulatory Professional Integrity; 7.1.4 AI Governance in Environmental Decision-Support.
7.2 Skill Area Name,Dimension Tags,Human-AI Professional Practice,"3–5 competencies addressing human-AI teaming as professional capacity, distinct from technical AI use (Domain 2.6). Codes: 7.2.1–7.2.5. Drafting pending Task 14 Part B."
Future addition protocol,All cross-cutting,"Add to Domain 7 as 7.3.x, 7.4.x etc.",Max 5 competencies per skill area. All cross-cutting competencies housed in Domain 7 regardless of primary craft assignment.
